"","species","input","matched_name","SYNONYM","contributor","review_flag","match_code","match_sim","SPECIES_NR","VALID_NR"
"622","peperomia inaequalilimba","peperomia inaequalilimba","Peperomia inaequalifolia var. galioides","Synonym","GBIF2026; peperomia_net2025","CHECK_fuzzy",2,0.942857142857143,7070,7044
"623","peperomia johnsonii","peperomia johnsonii","Peperomia johnstonii","Synonym","peperomia_net2025","CHECK_fuzzy",2,0.98,62240,62237
"624","peperomia lanceolato-peltata","peperomia lanceolato-peltata","Peperomia lanceolatopeltata","Accepted","OAX2025","CHECK_fuzzy",2,0.988888888888889,62292,62292
"625","peperomia lancifolioidea","peperomia lancifolioidea","Peperomia lancifolia","Accepted","CR2024; GBIF2026; HUA2025; peperomia_net2025","CHECK_fuzzy",2,0.942857142857143,7162,7162
"626","peperomia lateovata","peperomia lateovata","Peperomia late-ovata","Synonym","peperomia_net2025","CHECK_fuzzy",2,0.98,63028,63027
"627","peperomia leptostachyos","peperomia leptostachyos","Peperomia leptostachyoides","Accepted","peperomia_net2025","CHECK_fuzzy",2,0.9625,62318,62318
"628","peperomia liebmanni","peperomia liebmanni","Peperomia liebmannii","Accepted","HEM2025","CHECK_fuzzy",2,0.98,62323,62323
"629","peperomia liliifolia","peperomia liliifolia","Peperomia lilifolia","Synonym","peperomia_net2025","CHECK_fuzzy",2,0.935555555555556,62337,62333
"630","peperomia longeacuminata","peperomia longeacuminata","Peperomia longiacuminata","Synonym","peperomia_net2025","CHECK_fuzzy",2,0.932967032967033,7115,7086
"631","peperomia longemucronata","peperomia longemucronata","Peperomia longimucronata","Synonym","GBIF2026; peperomia_net2025","CHECK_fuzzy",2,0.971428571428571,61709,61706
"632","peperomia longespicata","peperomia longespicata","Peperomia longispicata","Synonym","peperomia_net2025","CHECK_fuzzy",2,0.939393939393939,6987,6982
"633","peperomia longipila","peperomia longipila","Peperomia longispica","Synonym","GBIF2026; peperomia_net2025","CHECK_fuzzy",2,0.937777777777778,7072,7044
"634","peperomia macrostachia","peperomia macrostachia","Peperomia macrostachya","Accepted","literature2021","CHECK_fuzzy",2,0.966666666666667,7185,7185
"635","peperomia magnoliaefolia","peperomia magnoliaefolia","Peperomia magnoliifolia var. emarginulata","Synonym","GBIF2026","CHECK_fuzzy",2,0.939377289377289,7258,7241
"636","peperomia magnoliafolia","peperomia magnoliafolia","Peperomia magnoliifolia var. emarginulata","Synonym","ICESI2024","CHECK_fuzzy",2,0.952564102564102,7258,7241
"637","peperomia mandonii","peperomia mandonii","Peperomia mannii","Synonym","GBIF2026; peperomia_net2025","CHECK_fuzzy",2,0.941666666666667,62736,62732
"638","peperomia matlalucaensi","peperomia matlalucaensi","Peperomia matlalucaensis","Accepted","literature2021","CHECK_fuzzy",2,0.985714285714286,7236,7236
"639","peperomia microphyllophora","peperomia microphyllophora","Peperomia microphylla","Accepted","GBIF2026; HUA2025; peperomia_net2025","CHECK_fuzzy",2,0.9375,62406,62406
"640","peperomia microstachya","peperomia microstachya","Peperomia macrostachya","Accepted","peperomia_net2025","CHECK_fuzzy",2,0.95,7185,7185
"641","peperomia monticola","peperomia monticola","Peperomia mornicola","Synonym","GBIF2026; HUAP2024; iNat2026; peperomia_net2025","CHECK_fuzzy",2,0.940740740740741,62242,62237
"642","peperomia moyebambana","peperomia moyebambana","Peperomia moyobambana","Accepted","peperomia_net2025","CHECK_fuzzy",2,0.957575757575758,89229,89229
"643","peperomia multifolia","peperomia multifolia","Peperomia multifida","Synonym","GBIF2026; peperomia_net2025","CHECK_fuzzy",2,0.937777777777778,62256,62247
"644","peperomia naevifolia","peperomia naevifolia","Peperomia laevifolia","Accepted","GBIF2026; peperomia_net2025","CHECK_fuzzy",2,0.933333333333333,62279,62279
"645","peperomia nigro-oculata","peperomia nigro-oculata","Peperomia nigrooculata","Accepted","peperomia_net2025","CHECK_fuzzy",2,0.984615384615385,84233,84233
"646","peperomia nigroungulata","peperomia nigroungulata","Peperomia nigro-ungulata","Accepted","GBIF2026","CHECK_fuzzy",2,0.985714285714286,62445,62445
"647","peperomia oblancifolia","peperomia oblancifolia","Peperomia lancifolia","Accepted","peperomia_net2025","CHECK_fuzzy",2,0.944444444444444,7162,7162
"648","peperomia pacifica","peperomia pacifica","Peperomia pacificicola","Accepted","peperomia_net2025","CHECK_fuzzy",2,0.933333333333333,91136,91136
"649","peperomia palcana","peperomia palcana","Peperomia palmana","Accepted","GBIF2026; peperomia_net2025","CHECK_fuzzy",2,0.933333333333333,62506,62506
"650","peperomia parvifolia","peperomia parvifolia","Peperomia parcifolia","Accepted","GBIF2026; HUA2025; peperomia_net2025","CHECK_fuzzy",2,0.953333333333333,85951,85951
"651","peperomia pereskifolia","peperomia pereskifolia","Peperomia pereskiifolia","Accepted","ATRIUM2017","CHECK_fuzzy",2,0.951282051282051,62587,62587
"652","peperomia pernambucuensis","peperomia pernambucuensis","Peperomia pernambucensis","Accepted","literature2024","CHECK_fuzzy",2,0.986666666666667,62602,62602
"653","peperomia pilaloensis","peperomia pilaloensis","Peperomia ilaloensis","Accepted","GBIF2026; peperomia_net2025","CHECK_fuzzy",2,0.96969696969697,62264,62264
"654","peperomia pilifera","peperomia pilifera","Peperomia pilulifera","Synonym","GBIF2026; peperomia_net2025","CHECK_fuzzy",2,0.953333333333333,7408,7406
"655","peperomia pseudo-alpina","peperomia pseudo-alpina","Peperomia pseudoalpina","Accepted","literature2021","CHECK_fuzzy",2,0.984615384615385,62659,62659
"656","peperomia pseudocasaretti","peperomia pseudocasaretti","Peperomia pseudocasarettii","Accepted","CR2024; GBIF2026; HUA2025; peperomia_net2025","CHECK_fuzzy",2,0.9875,7296,7296
"657","peperomia pseudocasarettoi","peperomia pseudocasarettoi","Peperomia pseudocasarettii","Accepted","GBIF2026; JimenezDA","CHECK_fuzzy",2,0.975,7296,7296
"658","peperomia pseudopereskiaefolia","peperomia pseudopereskiaefolia","Peperomia pseudopereskiifolia","Accepted","literature2021","CHECK_fuzzy",2,0.958362573099415,62667,62667
"659","peperomia purpurea","peperomia purpurea","Peperomia purpurella","Synonym","HUA2025; peperomia_net2025","CHECK_fuzzy",2,0.96,62535,62534
"660","peperomia refiexa","peperomia refiexa","Peperomia reflexa","Synonym","literature2021","CHECK_fuzzy",2,0.933333333333333,14932,14918
"661","peperomia rhombeo-elliptica","peperomia rhombeo-elliptica","Peperomia rhombeoelliptica","Accepted","peperomia_net2025","CHECK_fuzzy",2,0.988235294117647,13015,13015
"662","peperomia rhombifolia","peperomia rhombifolia","Peperomia rhombeifolia","Accepted","GBIF2026; HUA2025; peperomia_net2025","CHECK_fuzzy",2,0.983333333333333,62774,62774
"663","peperomia riocangrejalensis","peperomia riocangrejalensis","Peperomia rio-cangrejalensis","Synonym","peperomia_net2025","CHECK_fuzzy",2,0.987037037037037,62133,62131
"664","peperomia roigiana","peperomia roigiana","Peperomia roigana","Synonym","GBIF2026","CHECK_fuzzy",2,0.975,63094,63089
"665","peperomia rubea","peperomia rubea","Peperomia rubella","Synonym","GBIF2026; peperomia_net2025","CHECK_fuzzy",2,0.942857142857143,63095,63089
"666","peperomia rufescens","peperomia rufescens","Peperomia rubescens","Accepted","peperomia_net2025","CHECK_fuzzy",2,0.940740740740741,62795,62795
"667","peperomia samoensis","peperomia samoensis","Peperomia salmensis","Synonym","peperomia_net2025","CHECK_fuzzy",2,0.940740740740741,62470,62467
"668","peperomia san-carlosiana","peperomia san-carlosiana","Peperomia sancarlosiana","Accepted","CR2024; GBIF2026; HUA2025; peperomia_net2025","CHECK_fuzzy",2,0.983333333333333,58235,58235
"669","peperomia san-felipensis","peperomia san-felipensis","Peperomia sanfelipensis","Accepted","GBIF2026; HUA2025; iNat2026; peperomia_net2025; SEL2021","CHECK_fuzzy",2,0.983333333333333,62829,62829
"670","peperomia san-joseana","peperomia san-joseana","Peperomia sanjoseana","Synonym","CR2024; GBIF2026; HUA2025; HUAP2024; iNat2026; JimenezDA; KroemerT; peperomia_net2025","CHECK_fuzzy",2,0.978787878787879,6979,6959
"671","peperomia san-pedritoi","peperomia san-pedritoi","Peperomia sanpedritoi","Synonym","peperomia_net2025","CHECK_fuzzy",2,0.980555555555556,57918,57916
"672","peperomia san-roqueana","peperomia san-roqueana","Peperomia sanroqueana","Accepted","peperomia_net2025","CHECK_fuzzy",2,0.980555555555556,62831,62831
"673","peperomia sanbuenaventurana","peperomia sanbuenaventurana","Peperomia san-buenaventurana","Synonym","peperomia_net2025","CHECK_fuzzy",2,0.987037037037037,7080,7044
"674","peperomia santa-cruzana","peperomia santa-cruzana","Peperomia santacruzana","Synonym","peperomia_net2025","CHECK_fuzzy",2,0.984615384615385,62719,62717
"675","peperomia santa-elisae","peperomia santa-elisae","Peperomia santaelisae","Accepted","GBIF2026; peperomia_net2025","CHECK_fuzzy",2,0.983333333333333,57916,57916
"676","peperomia santa-helenae","peperomia santa-helenae","Peperomia santahelenae","Accepted","GBIF2026; HUAP2024; JimenezDA; peperomia_net2025","CHECK_fuzzy",2,0.984615384615385,62833,62833
"677","peperomia santanderana","peperomia santanderana","Peperomia santanana","Synonym","GBIF2026; HUA2025; peperomia_net2025","CHECK_fuzzy",2,0.95,58239,58235
"678","peperomia santarosana","peperomia santarosana","Peperomia santa-rosana","Synonym","GBIF2026","CHECK_fuzzy",2,0.983333333333333,7315,7297
"679","peperomia schenckiana","peperomia schenckiana","Peperomia schenkiana","Accepted","GBIF2026","CHECK_fuzzy",2,0.981818181818182,62836,62836
"680","peperomia scutellata","peperomia scutellata","Peperomia stellata","Accepted","GBIF2026; peperomia_net2025","CHECK_fuzzy",2,0.94,62902,62902
"681","peperomia silvestris","peperomia silvestris","Peperomia sylvestris","Accepted","peperomia_net2025","CHECK_fuzzy",2,0.94,62966,62966
"682","peperomia swatziana","peperomia swatziana","Peperomia swartziana","Accepted","GerberJP","CHECK_fuzzy",2,0.976666666666667,62960,62960
"683","peperomia tenera","peperomia tenera","Peperomia tenerrima","Accepted","GBIF2026","CHECK_fuzzy",2,0.933333333333333,62988,62988
"684","peperomia tenuiflora","peperomia tenuiflora","Peperomia tenuifolia","Accepted","GBIF2026; peperomia_net2025","CHECK_fuzzy",2,0.937777777777778,83077,83077
"685","peperomia tenuinerva","peperomia tenuinerva","Peperomia tenuinervis","Synonym","GBIF2026","CHECK_fuzzy",2,0.943636363636364,62213,62201
"686","peperomia tenuipila","peperomia tenuipila","Peperomia tenuispica","Synonym","peperomia_net2025","CHECK_fuzzy",2,0.937777777777778,62743,62732
"687","peperomia tropaeolifolia","peperomia tropaeolifolia","Peperomia tropeolifolia","Synonym","INABIOEC","CHECK_fuzzy",2,0.985714285714286,7364,7355
"688","peperomia vulcanicula","peperomia vulcanicula","Peperomia vulcanica","Accepted","literature2021","CHECK_fuzzy",2,0.963636363636364,81460,81460
"689","peperomia yutajensis","peperomia yutajensis","Peperomia yatuensis","Accepted","GBIF2026; peperomia_net2025","CHECK_fuzzy",2,0.936666666666667,63111,63111
"690","pepinia uaupensis","pepinia uaupensis","Pepinia uaupanensis","Synonym","GBIF2026; HUA2025; literature2021; SEL2021","CHECK_fuzzy",2,0.941414141414141,65224,65222
"691","pernettya myrsinoides","pernettya myrsinoides","Pernettya myrsinites","Synonym","GBIF2026","CHECK_fuzzy",2,0.943636363636364,50729,50726
"692","phaius tankarvilleae","phaius tankarvilleae","Phaius tankervilleae","Synonym","GBIF2026","CHECK_fuzzy",2,0.969230769230769,86003,85966
"693","philodendron acuatum","philodendron acuatum","Philodendron arcuatum","Synonym","literature2021","CHECK_fuzzy",2,0.9625,14972,14971
"694","philodendron advenae","philodendron advenae","Philodendron advena","Accepted","literature2021","CHECK_fuzzy",2,0.971428571428571,63637,63637
"695","philodendron asplundi","philodendron asplundi","Philodendron asplundii","Accepted","literature2021","CHECK_fuzzy",2,0.977777777777778,63669,63669
"696","philodendron atratus","philodendron atratus","Philodendron atratum","Accepted","HUA2025","CHECK_fuzzy",2,0.942857142857143,59053,59053
"697","philodendron beniteziae","philodendron beniteziae","Philodendron benitezii","Accepted","GBIF2026; HUA2025; INABIOEC; JimenezA; ZuluagaA","CHECK_fuzzy",2,0.937777777777778,63688,63688
"698","philodendron brantii","philodendron brantii","Philodendron brandii","Accepted","GBIF2026","CHECK_fuzzy",2,0.942857142857143,63697,63697
"699","philodendron cataniaponense","philodendron cataniaponense","Philodendron cataniapoense","Accepted","literature2021","CHECK_fuzzy",2,0.97032967032967,63718,63718
"700","philodendron danielii","philodendron danielii","Philodendron daniellii","Accepted","HUA2025","CHECK_fuzzy",2,0.977777777777778,7494,7494
"701","philodendron ernesti","philodendron ernesti","Philodendron ernestii","Accepted","literature2021","CHECK_fuzzy",2,0.975,63816,63816
"702","philodendron fragantissimum","philodendron fragantissimum","Philodendron fragrantissimum","Accepted","literature2021; SandoyaV","CHECK_fuzzy",2,0.986666666666667,63837,63837
"703","philodendron fragantissimun","philodendron fragantissimun","Philodendron fragrantissimum","Accepted","literature2021","CHECK_fuzzy",2,0.959047619047619,63837,63837
"704","philodendron helenae","philodendron helenae","Philodendron heleniae","Accepted","GBIF2026","CHECK_fuzzy",2,0.975,63887,63887
"705","philodendron inaequilateum","philodendron inaequilateum","Philodendron inaequilaterum subsp. anthoblastum","Synonym","literature2024","CHECK_fuzzy",2,0.985714285714286,63876,63874
"706","philodendron kressii","philodendron kressii","Philodendron krebsii","Synonym","GBIF2026","CHECK_fuzzy",2,0.933333333333333,63736,63733
"707","philodendron lacinatum","philodendron lacinatum","Philodendron laciniatum","Synonym","GBIF2026","CHECK_fuzzy",2,0.98,64121,64116
"708","philodendron lemorae","philodendron lemorae","Philodendron lemae","Accepted","GBIF2026","CHECK_fuzzy",2,0.933333333333333,63968,63968
"709","philodendron longipetiolatum","philodendron longipetiolatum","Philodendron longepetiolatum","Synonym","GBIF2026","CHECK_fuzzy",2,0.951904761904762,64248,64247
"710","philodendron megalophylllum","philodendron megalophylllum","Philodendron megalophyllum","Accepted","ATRIUM2017","CHECK_fuzzy",2,0.985714285714286,64043,64043
"711","philodendron melanochlorum","philodendron melanochlorum","Philodendron melanochrysum","Accepted","GBIF2026","CHECK_fuzzy",2,0.938461538461538,64045,64045
"712","philodendron oligospermium","philodendron oligospermium","Philodendron oligospermum","Accepted","HUA2025","CHECK_fuzzy",2,0.984615384615385,64093,64093
"713","philodendron pimichinense","philodendron pimichinense","Philodendron pimichinese","Accepted","GBIF2026","CHECK_fuzzy",2,0.983333333333333,64135,64135
"714","philodendron solimoesensis","philodendron solimoesensis","Philodendron solimoesense","Synonym","literature2021","CHECK_fuzzy",2,0.952564102564102,59767,59766
"715","philodendron toshibai","philodendron toshibai","Philodendron toshibae","Accepted","CUZ2025; GBIF2026; literature2021","CHECK_fuzzy",2,0.95,64294,64294
"716","philodendron warscewiczii","philodendron warscewiczii","Philodendron warszewiczii","Accepted","GBIF2026","CHECK_fuzzy",2,0.948484848484848,64357,64357
"717","philodendron wilburi","philodendron wilburi","Philodendron wilburii","Accepted","literature2021","CHECK_fuzzy",2,0.975,64364,64364
"718","phlebodium aerolatum","phlebodium aerolatum","Phlebodium areolatum","Accepted","literature2021","CHECK_fuzzy",2,0.966666666666667,7528,7528
"719","phlegmariurus acifolius","phlegmariurus acifolius","Phlegmariurus acutifolius","Synonym","GBIF2026; HUA2025; ICESI2024","CHECK_fuzzy",2,0.951515151515152,13357,13350
"720","phlegmariurus heterocarpon","phlegmariurus heterocarpon","Phlegmariurus heterocarpos","Accepted","GBIF2026","CHECK_fuzzy",2,0.966666666666667,91398,91398
"721","phyllonoma teniudens","phyllonoma teniudens","Phyllonoma tenuidens","Accepted","literature2021","CHECK_fuzzy",2,0.974074074074074,64772,64772
"722","pilea cornutocucullata","pilea cornutocucullata","Pilea cornuto-cucullata","Accepted","CR2024","CHECK_fuzzy",2,0.988235294117647,64801,64801
"723","pilea diverssima","pilea diverssima","Pilea diversissima","Synonym","ATRIUM2017","CHECK_fuzzy",2,0.946666666666667,64804,64803
"724","piper allatum","piper allatum","Piper alatum","Synonym","HUA2025","CHECK_fuzzy",2,0.961904761904762,61701,61688
"725","piper brachystylum","piper brachystylum","Piper brachystachyum","Synonym","HUA2025; INABIOEC","CHECK_fuzzy",2,0.94047619047619,62067,62064
"726","piper ellipticifolium","piper ellipticifolium","Piper ellipticum","Synonym","HUA2025","CHECK_fuzzy",2,0.933333333333333,61995,61991
"727","piper hispidum","piper hispidum","Piper hispidulum","Synonym","ATRIUM2017; CAUP2023; CUZ2025; HEM2025; HUA2025; HUAP2024; ICESI2024; INABIOEC; KUELAP2024; literature2021; OAX2025; SandoyaV","CHECK_fuzzy",2,0.96,62231,62216
"728","piper lanceifolium","piper lanceifolium","Piper laevifolium","Synonym","ATRIUM2017; CAUP2023; HUA2025; ICESI2024; INABIOEC; KUELAP2024; RoseroJ","CHECK_fuzzy",2,0.931313131313131,62286,62279
"729","piper lancifolium","piper lancifolium","Piper planifolium","Synonym","CAUP2023; HUA2025","CHECK_fuzzy",2,0.939393939393939,6958,6940
"730","piper longifolium","piper longifolium","Piper longiflorum","Synonym","ATRIUM2017; CUZ2025; HUA2025; INABIOEC","CHECK_fuzzy",2,0.943636363636364,62800,62796
"731","piper macrostachyum","piper macrostachyum","Piper macrostachyon","Synonym","ATRIUM2017","CHECK_fuzzy",2,0.938461538461538,7221,7185
"732","piper marginatum","piper marginatum","Piper emarginatum","Synonym","ATRIUM2017; CUZ2025; HUA2025; HUAP2024; ICESI2024; INABIOEC; OAX2025; RoseroJ; SEL2021; TECLA2025","CHECK_fuzzy",2,0.96969696969697,7277,7241
"733","piper pancifolium","piper pancifolium","Piper planifolium","Synonym","HUA2025","CHECK_fuzzy",2,0.945454545454546,6958,6940
"734","piper patzulinum","piper patzulinum","Piper patulum","Synonym","HUA2025; OAX2025","CHECK_fuzzy",2,0.93,7178,7162
"735","piper statum","piper statum","Piper striatum","Synonym","HUA2025","CHECK_fuzzy",2,0.933333333333333,62919,62908
"736","pitcairnia palmoide","pitcairnia palmoide","Pitcairnia palmoides","Accepted","INABIOEC","CHECK_fuzzy",2,0.977777777777778,65205,65205
"737","pityphyllum pinioides","pityphyllum pinioides","Pityphyllum pinoides","Synonym","literature2021","CHECK_fuzzy",2,0.944907407407407,12512,12511
"738","platystele breneri","platystele breneri","Platystele brenneri","Accepted","literature2021","CHECK_fuzzy",2,0.975,65335,65335
"739","platystele stenostachia","platystele stenostachia","Platystele stenostachya","Accepted","literature2021","CHECK_fuzzy",2,0.966666666666667,7899,7899
"740","pleiochiton crassifolium","pleiochiton crassifolium","Pleiochiton crassifolius","Synonym","AssisI","CHECK_fuzzy",2,0.966666666666667,61824,61823
"741","pleiochiton ebracteatum","pleiochiton ebracteatum","Pleiochiton ebracteatus","Synonym","AssisI; GBIF2026","CHECK_fuzzy",2,0.963636363636364,61826,61825
"742","pleiochiton longipetiolatum","pleiochiton longipetiolatum","Pleiochiton longipetiolatus","Synonym","AssisI","CHECK_fuzzy",2,0.973333333333333,61831,61830
"743","pleiochiton magdalenense","pleiochiton magdalenense","Pleiochiton magdalenensis","Synonym","AssisI","CHECK_fuzzy",2,0.952564102564102,61833,61832
"744","pleiochiton setulosum","pleiochiton setulosum","Pleiochiton setulosus","Synonym","AssisI; GBIF2026","CHECK_fuzzy",2,0.955555555555556,61841,61840
"745","pleopeltis alan-smithii","pleopeltis alan-smithii","Pleopeltis alansmithii","Accepted","literature2021","CHECK_fuzzy",2,0.983333333333333,13511,13511
"746","pleopeltis bombycinum","pleopeltis bombycinum","Pleopeltis bombycina","Accepted","literature2021","CHECK_fuzzy",2,0.937777777777778,7923,7923
"747","pleopeltis conzatti","pleopeltis conzatti","Pleopeltis conzattii","Accepted","HGOM2025","CHECK_fuzzy",2,0.977777777777778,65611,65611
"748","pleopeltis cryptocarpa","pleopeltis cryptocarpa","Pleopeltis cryptocarpos","Accepted","GBIF2026; HUAP2024; JimenezDA; KesslerM; OAX2025","CHECK_fuzzy",2,0.948484848484848,63441,63441
"749","pleopeltis furfuraceum","pleopeltis furfuraceum","Pleopeltis furfuracea","Accepted","CR2024; KesslerM; LPB2024","CHECK_fuzzy",2,0.943636363636364,13553,13553
"750","pleopeltis leucospora","pleopeltis leucospora","Pleopeltis leucophora","Synonym","KesslerM","CHECK_fuzzy",2,0.96,85031,85029
"751","pleopeltis muenchii","pleopeltis muenchii","Pleopeltis munchii","Accepted","GBIF2026; literature2021","CHECK_fuzzy",2,0.966666666666667,88103,88103
"752","pleopeltis polypodiodes","pleopeltis polypodiodes","Pleopeltis polypodioides","Accepted","literature2021","CHECK_fuzzy",2,0.984615384615385,7987,7987
"753","pleopeltis segregata","pleopeltis segregata","Pleopeltis segretata","Accepted","GBIF2026; HUA2025","CHECK_fuzzy",2,0.930555555555556,63598,63598
"754","pleopeltis thysanolepis","pleopeltis thysanolepis","Pleopeltis thyssanolepis","Accepted","GBIF2026","CHECK_fuzzy",2,0.984615384615385,8017,8017
"755","pleopeltis tweediana","pleopeltis tweediana","Pleopeltis tweedieana","Accepted","GBIF2026; KesslerM; literature2021","CHECK_fuzzy",2,0.98,88112,88112
"756","pleurothallis acostae","pleurothallis acostae","Pleurothallis acostaei","Synonym","CR2024; SEL2021","CHECK_fuzzy",2,0.975,66561,66559
"757","pleurothallis adelae","pleurothallis adelae","Pleurothallis adeleae","Accepted","literature2021","CHECK_fuzzy",2,0.938095238095238,65719,65719
"758","pleurothallis adiri","pleurothallis adiri","Pleurothallis adirii","Synonym","SEL2021","CHECK_fuzzy",2,0.966666666666667,15256,15255
"759","pleurothallis alexandrae","pleurothallis alexandrae","Pleurothallis alexandri","Synonym","GBIF2026; SEL2021","CHECK_fuzzy",2,0.937777777777778,15559,15557
"760","pleurothallis aphtosa","pleurothallis aphtosa","Pleurothallis aphthosa","Synonym","literature2021; LPB2024","CHECK_fuzzy",2,0.975,15272,15271
"761","pleurothallis barbacensis","pleurothallis barbacensis","Pleurothallis barbacenensis","Synonym","GBIF2026","CHECK_fuzzy",2,0.969230769230769,14771,14767
"762","pleurothallis bipapulare","pleurothallis bipapulare","Pleurothallis bipapularis","Synonym","SEL2021","CHECK_fuzzy",2,0.943636363636364,9592,9591
"763","pleurothallis bowmannii","pleurothallis bowmannii","Pleurothallis bowmanni","Accepted","SEL2021","CHECK_fuzzy",2,0.977777777777778,62027,62027
"764","pleurothallis callosa","pleurothallis callosa","Pleurothallis ecallosa","Synonym","GBIF2026","CHECK_fuzzy",2,0.958333333333333,15355,15353
"765","pleurothallis crocodilanthe","pleurothallis crocodilanthe","Pleurothallis crocodeilanthe","Synonym","GBIF2026","CHECK_fuzzy",2,0.931868131868132,74905,74902
"766","pleurothallis derengularis","pleurothallis derengularis","Pleurothallis deregularis","Synonym","literature2021","CHECK_fuzzy",2,0.983333333333333,73503,73497
"767","pleurothallis diminuata","pleurothallis diminuata","Pleurothallis diminuta","Synonym","literature2021","CHECK_fuzzy",2,0.952777777777778,73524,73522
"768","pleurothallis dodsoni","pleurothallis dodsoni","Pleurothallis dodsonii","Synonym","literature2021","CHECK_fuzzy",2,0.975,10411,10409
"769","pleurothallis grobyii","pleurothallis grobyii","Pleurothallis grobyi","Synonym","INABIOEC","CHECK_fuzzy",2,0.971428571428571,15026,15015
"770","pleurothallis hastata","pleurothallis hastata","Pleurothallis hastulata","Synonym","GBIF2026; SEL2021","CHECK_fuzzy",2,0.955555555555556,62387,62385
"771","pleurothallis hawkingii","pleurothallis hawkingii","Pleurothallis hawkinsii","Accepted","CR2024; GBIF2026","CHECK_fuzzy",2,0.955555555555556,84475,84475
"772","pleurothallis lewisae","pleurothallis lewisae","Pleurothallis lewisiae","Synonym","literature2021","CHECK_fuzzy",2,0.975,18428,18426
"773","pleurothallis longipetala","pleurothallis longipetala","Pleurothallis longisepala","Synonym","GBIF2026","CHECK_fuzzy",2,0.943636363636364,15693,15689
"774","pleurothallis mantiguyrana","pleurothallis mantiguyrana","Pleurothallis mantiquyrana","Synonym","GBIF2026","CHECK_fuzzy",2,0.966666666666667,109,102
"775","pleurothallis miserrima","pleurothallis miserrima","Pleurothallis misera","Synonym","GBIF2026","CHECK_fuzzy",2,0.933333333333333,65430,65428
"776","pleurothallis pachyglosa","pleurothallis pachyglosa","Pleurothallis pachyglossa","Synonym","HEM2025","CHECK_fuzzy",2,0.981818181818182,74234,74228
"777","pleurothallis pleurothallis","pleurothallis pleurothallis","Pleurothallis pleurothalloides","Synonym","UIS2024","CHECK_fuzzy",2,0.9625,10339,10334
"778","pleurothallis polygoniodes","pleurothallis polygoniodes","Pleurothallis polygonoides","Synonym","literature2021","CHECK_fuzzy",2,0.983333333333333,615,612
"779","pleurothallis rubrifolia","pleurothallis rubrifolia","Pleurothallis rutrifolia","Accepted","GBIF2026","CHECK_fuzzy",2,0.946666666666666,84527,84527
"780","pleurothallis schweinfurtii","pleurothallis schweinfurtii","Pleurothallis schweinfurthii","Accepted","LPB2024","CHECK_fuzzy",2,0.985714285714286,14979,14979
"781","pleurothallis stenoglosa","pleurothallis stenoglosa","Pleurothallis stenoglossa","Synonym","GUYN2008","CHECK_fuzzy",2,0.981818181818182,14814,14790
"782","pleurothallis tapantiensis","pleurothallis tapantiensis","Pleurothallis tandapiensis","Accepted","GBIF2026","CHECK_fuzzy",2,0.931313131313131,84532,84532
"783","pleurothallis testifolia","pleurothallis testifolia","Pleurothallis testaefolia","Synonym","GBIF2026; SEL2021","CHECK_fuzzy",2,0.943636363636364,62946,62935
"784","pleurothallis triangulabia","pleurothallis triangulabia","Pleurothallis triangulilabia","Synonym","GBIF2026","CHECK_fuzzy",2,0.946428571428571,66557,66554
"785","poaephyllum pauciflorum","poaephyllum pauciflorum","Poaephyllum pauciflora","Accepted","GBIF2026","CHECK_fuzzy",2,0.943636363636364,67248,67248
"786","polycycnis lehmanni","polycycnis lehmanni","Polycycnis lehmannii","Accepted","SEL2021","CHECK_fuzzy",2,0.977777777777778,67331,67331
"787","polypodium adnatun","polypodium adnatun","Polypodium adnatum","Synonym","ATRIUM2017","CHECK_fuzzy",2,0.942857142857143,9411,9408
"788","polypodium alan-smithii","polypodium alan-smithii","Polypodium alansmithii","Synonym","literature2021","CHECK_fuzzy",2,0.983333333333333,13512,13511
"789","polypodium appressum","polypodium appressum","Polypodium adpressum","Synonym","GBIF2026; LPB2024","CHECK_fuzzy",2,0.933333333333333,15005,15004
"790","polypodium asterolepis","polypodium asterolepis","Polypodium steirolepis","Synonym","GBIF2026","CHECK_fuzzy",2,0.939393939393939,13612,13610
"791","polypodium balliviani","polypodium balliviani","Polypodium ballivianii","Synonym","literature2021","CHECK_fuzzy",2,0.981818181818182,7921,7920
"792","polypodium brunneo-viride","polypodium brunneo-viride","Polypodium brunneoviride","Synonym","GBIF2026","CHECK_fuzzy",2,0.985714285714286,30023,30021
"793","polypodium crysolepis","polypodium crysolepis","Polypodium chrysolepis","Synonym","CUZ2025","CHECK_fuzzy",2,0.972727272727273,88232,88229
"794","polypodium cyathicolum","polypodium cyathicolum","Polypodium cyathicola","Synonym","GBIF2026","CHECK_fuzzy",2,0.943636363636364,61603,61602
"795","polypodium feuyllei","polypodium feuyllei","Polypodium feuillei","Synonym","literature2021","CHECK_fuzzy",2,0.941666666666667,9805,9799
"796","polypodium forsmosanum","polypodium forsmosanum","Polypodium formosanum","Synonym","SEL2021","CHECK_fuzzy",2,0.943787878787879,84576,84573
"797","polypodium heteroclitum","polypodium heteroclitum","Polypodium heterotrichum","Synonym","GBIF2026","CHECK_fuzzy",2,0.934382284382284,10318,10314
"798","polypodium loricerum","polypodium loricerum","Polypodium loriceum var. glaucum","Synonym","CUZ2025","CHECK_fuzzy",2,0.977777777777778,9432,9421
