"","species","input","matched_name","SYNONYM","contributor","review_flag","match_code","match_sim","SPECIES_NR","VALID_NR"
"489","masdevallia livinstoneana","masdevallia livinstoneana","Masdevallia livingstoneana","Accepted","literature2021","CHECK_fuzzy",2,0.985714285714286,55187,55187
"490","masdevallia luziae-mariae","masdevallia luziae-mariae","Masdevallia luziaemariae","Accepted","SEL2021","CHECK_fuzzy",2,0.984615384615385,14881,14881
"491","masdevallia yungasensi","masdevallia yungasensi","Masdevallia yungasensis","Accepted","INABIOEC","CHECK_fuzzy",2,0.981818181818182,55831,55831
"492","maxillaria acutiflora","maxillaria acutiflora","Maxillaria acutifolia","Accepted","SEL2021","CHECK_fuzzy",2,0.937777777777778,10251,10251
"493","maxillaria amesianum","maxillaria amesianum","Maxillaria amesiana","Synonym","UIS2024","CHECK_fuzzy",2,0.930555555555556,12501,12500
"494","maxillaria densiflora","maxillaria densiflora","Maxillaria densifolia","Accepted","SEL2021","CHECK_fuzzy",2,0.937777777777778,51839,51839
"495","maxillaria luteo-grandiflora","maxillaria luteo-grandiflora","Maxillaria luteograndiflora","Accepted","ATRIUM2017","CHECK_fuzzy",2,0.988235294117647,56059,56059
"496","maxillaria luteo-rubra","maxillaria luteo-rubra","Maxillaria luteorubra","Synonym","SEL2021","CHECK_fuzzy",2,0.981818181818182,51538,51528
"497","maxillaria mariaisabelae","maxillaria mariaisabelae","Maxillaria mariaisabeliae","Accepted","SEL2021","CHECK_fuzzy",2,0.985714285714286,64970,64970
"498","maxillaria maripiensis","maxillaria maripiensis","Maxillaria mapiriensis","Accepted","ATRIUM2017","CHECK_fuzzy",2,0.975757575757576,56183,56183
"499","maxillaria notyloglossa","maxillaria notyloglossa","Maxillaria notylioglossa","Accepted","ATRIUM2017","CHECK_fuzzy",2,0.984615384615385,5785,5785
"500","maxillaria schlechteriana","maxillaria schlechteriana","Maxillaria schlechteri","Accepted","CR2024; SEL2021","CHECK_fuzzy",2,0.957142857142857,21767,21767
"501","maxillaria scorpioides","maxillaria scorpioides","Maxillaria scorpioidea","Accepted","SEL2021","CHECK_fuzzy",2,0.963636363636364,64985,64985
"502","melpomene moniloformis","melpomene moniloformis","Melpomene moniliformis","Synonym","KesslerM","CHECK_fuzzy",2,0.93030303030303,5902,5899
"503","melpomene wolffii","melpomene wolffii","Melpomene wolfii","Synonym","KesslerM","CHECK_fuzzy",2,0.971428571428571,5921,5917
"504","miconia bracteata","miconia bracteata","Miconia ebracteata","Accepted","GBIF2026; INABIOEC","CHECK_fuzzy",2,0.966666666666667,61825,61825
"505","miconia cristata","miconia cristata","Miconia cristulata","Synonym","GBIF2026","CHECK_fuzzy",2,0.96,88775,88753
"506","miconia garcia-barrigae","miconia garcia-barrigae","Miconia garciabarrigae","Accepted","GBIF2026; JimenezA","CHECK_fuzzy",2,0.986666666666667,24692,24692
"507","miconia glandulosa","miconia glandulosa","Miconia biglandulosa","Accepted","GBIF2026","CHECK_fuzzy",2,0.944444444444444,81410,81410
"508","miconia microphylla","miconia microphylla","Miconia macrophylla","Synonym","ATRIUM2017; GBIF2026","CHECK_fuzzy",2,0.945454545454546,88777,88753
"509","miconia mucronata","miconia mucronata","Miconia mucronulata","Synonym","GBIF2026","CHECK_fuzzy",2,0.963636363636364,88778,88753
"510","miconia neoepiphyitca","miconia neoepiphyitca","Miconia neoepiphytica","Accepted","GBIF2026; JimenezA","CHECK_fuzzy",2,0.984615384615385,24681,24681
"511","miconia paradisica","miconia paradisica","Miconia parasitica","Accepted","GBIF2026; INABIOEC","CHECK_fuzzy",2,0.937777777777778,24696,24696
"512","miconia regnellii","miconia regnellii","Miconia regelii","Accepted","GBIF2026","CHECK_fuzzy",2,0.948148148148148,81412,81412
"513","miconia rufescens","miconia rufescens","Miconia rubescens","Accepted","ATRIUM2017; CAUP2023; CUZ2025; GBIF2026; HUA2025; ICESI2024; INABIOEC","CHECK_fuzzy",2,0.940740740740741,56408,56408
"514","microgramma acatella","microgramma acatella","Microgramma acatallela","Accepted","literature2021","CHECK_fuzzy",2,0.935,87863,87863
"515","microgramma acatellela","microgramma acatellela","Microgramma acatallela","Accepted","INABIOEC","CHECK_fuzzy",2,0.937777777777778,87863,87863
"516","microgramma lycopodiodes","microgramma lycopodiodes","Microgramma lycopodioides","Accepted","BAR2025; GBIF2026; literature2021","CHECK_fuzzy",2,0.984615384615385,5960,5960
"517","microgramma megalophy","microgramma megalophy","Microgramma megalophylla","Accepted","literature2021","CHECK_fuzzy",2,0.95,14885,14885
"518","microgramma percusa","microgramma percusa","Microgramma percussa","Accepted","INABIOEC; literature2021","CHECK_fuzzy",2,0.975,6012,6012
"519","microgramma vaccinifolia","microgramma vaccinifolia","Microgramma vacciniifolia","Accepted","GBIF2026","CHECK_fuzzy",2,0.951282051282051,14894,14894
"520","miltoniopsis santanaei","miltoniopsis santanaei","Miltoniopsis santanae","Synonym","GBIF2026","CHECK_fuzzy",2,0.977777777777778,57517,57513
"521","monstera deliciosaa","monstera deliciosaa","Monstera deliciosa","Accepted","literature2021","CHECK_fuzzy",2,0.98,57582,57582
"522","monstera oblicua","monstera oblicua","Monstera obliqua","Accepted","KUELAP2024; literature2021","CHECK_fuzzy",2,0.942857142857143,57619,57619
"523","monstera obliquua","monstera obliquua","Monstera obliqua","Accepted","literature2021","CHECK_fuzzy",2,0.975,57619,57619
"524","monstera planadaensis","monstera planadaensis","Monstera planadensis","Accepted","HUA2025","CHECK_fuzzy",2,0.983333333333333,57634,57634
"525","monstera tenui","monstera tenui","Monstera tenuis","Accepted","literature2021","CHECK_fuzzy",2,0.966666666666667,57647,57647
"526","mormodes oestlundiana","mormodes oestlundiana","Mormodes oestlundianum","Accepted","GBIF2026; SEL2021","CHECK_fuzzy",2,0.952564102564102,57757,57757
"527","mormodes rolfeanum","mormodes rolfeanum","Mormodes rolfeana","Accepted","INABIOEC","CHECK_fuzzy",2,0.930555555555556,57770,57770
"528","mormodes stenoglossa","mormodes stenoglossa","Mormodes stenoglossum","Synonym","GBIF2026","CHECK_fuzzy",2,0.948484848484848,57699,57690
"529","mormodes warscewiczii","mormodes warscewiczii","Mormodes warszewiczii","Accepted","GBIF2026; SEL2021","CHECK_fuzzy",2,0.948484848484848,57792,57792
"530","mormolyca fuchsii","mormolyca fuchsii","Mormolyca fuchii","Synonym","SEL2021","CHECK_fuzzy",2,0.971428571428571,12568,12561
"531","myoxanthus affinoides","myoxanthus affinoides","Myoxanthus affinis","Accepted","SEL2021","CHECK_fuzzy",2,0.94,57887,57887
"532","myrmecophila tibicinus","myrmecophila tibicinus","Myrmecophila tibicinis","Accepted","literature2021","CHECK_fuzzy",2,0.955555555555556,58077,58077
"533","neoregelia macwilliamsii","neoregelia macwilliamsii","Neoregelia mcwilliamsii","Accepted","GBIF2026; ZizkaA","CHECK_fuzzy",2,0.976923076923077,58402,58402
"534","neoregelia silvomontana","neoregelia silvomontana","Neoregelia silvimontana","Accepted","ZizkaA","CHECK_fuzzy",2,0.948484848484848,58471,58471
"535","nidema bothii","nidema bothii","Nidema boothii","Accepted","literature2021","CHECK_fuzzy",2,0.961904761904762,58646,58646
"536","nidularium bocainense","nidularium bocainense","Nidularium bocainensis","Accepted","AssisI; GBIF2026","CHECK_fuzzy",2,0.943636363636364,58686,58686
"537","nidularium burchelli","nidularium burchelli","Nidularium burchellii","Synonym","ZizkaA","CHECK_fuzzy",2,0.98,54178,54173
"538","nidularium campo-alegrense","nidularium campo-alegrense","Nidularium campo-alegrensis","Accepted","GBIF2026","CHECK_fuzzy",2,0.961666666666667,58687,58687
"539","nidularium campoalegrense","nidularium campoalegrense","Nidularium campo-alegrensis","Accepted","ZizkaA","CHECK_fuzzy",2,0.948214285714286,58687,58687
"540","nidularium camposportoi","nidularium camposportoi","Nidularium campos-portoi","Accepted","GBIF2026; ZizkaA","CHECK_fuzzy",2,0.984615384615385,58688,58688
"541","nidularium ferdinandocoburgii","nidularium ferdinandocoburgii","Nidularium ferdinando-coburgii","Accepted","literature2024","CHECK_fuzzy",2,0.989473684210526,58695,58695
"542","nidularium picinguabense","nidularium picinguabense","Nidularium picinguabensis","Accepted","ZizkaA","CHECK_fuzzy",2,0.956043956043956,58732,58732
"543","niphidium amocarpos","niphidium amocarpos","Niphidium anocarpos","Synonym","literature2021","CHECK_fuzzy",2,0.933333333333333,58778,58777
"544","niphidium carinetum","niphidium carinetum","Niphidium carinatum","Synonym","ATRIUM2017","CHECK_fuzzy",2,0.955555555555556,58783,58782
"545","notylia trullulifera","notylia trullulifera","Notylia trullifera","Synonym","GBIF2026","CHECK_fuzzy",2,0.966666666666667,58865,58864
"546","octomeria breviflolia","octomeria breviflolia","Octomeria brevifolia","Synonym","literature2021","CHECK_fuzzy",2,0.961818181818182,6735,6732
"547","odontoglossum coradinae","odontoglossum coradinae","Odontoglossum coradinei","Synonym","SEL2021","CHECK_fuzzy",2,0.955555555555556,59909,59908
"548","odontoglossum kegeljanii","odontoglossum kegeljanii","Odontoglossum kegeljani","Synonym","SEL2021","CHECK_fuzzy",2,0.98,60156,60155
"549","odontoglossum ramosisimum","odontoglossum ramosisimum","Odontoglossum ramosissimum","Synonym","literature2021","CHECK_fuzzy",2,0.983333333333333,34418,34414
"550","odontoglossum trimasutum","odontoglossum trimasutum","Odontoglossum trinasutum","Synonym","SEL2021","CHECK_fuzzy",2,0.953333333333333,60732,60731
"551","oerstedella thurstoniorum","oerstedella thurstoniorum","Oerstedella thurstonorum","Synonym","INABIOEC","CHECK_fuzzy",2,0.984615384615385,43075,43074
"552","oncidium allenii","oncidium allenii","Oncidium allemanii","Synonym","SEL2021","CHECK_fuzzy",2,0.955555555555556,3664,3659
"553","oncidium ceboletta","oncidium ceboletta","Oncidium cebolleta f. purum","Synonym","literature2021","CHECK_fuzzy",2,0.955555555555556,10001,9995
"554","oncidium clotzschianum","oncidium clotzschianum","Oncidium klotzschianum","Synonym","INABIOEC","CHECK_fuzzy",2,0.948717948717949,6776,6770
"555","oncidium dactiliferum","oncidium dactiliferum","Oncidium dactyliferum","Accepted","SEL2021","CHECK_fuzzy",2,0.948484848484848,59962,59962
"556","oncidium graminifoliumm","oncidium graminifoliumm","Oncidium graminifolium","Accepted","OAX2025","CHECK_fuzzy",2,0.985714285714286,60061,60061
"557","oncidium klotzscheanum","oncidium klotzscheanum","Oncidium klotzschianum","Synonym","literature2021","CHECK_fuzzy",2,0.969230769230769,6776,6770
"558","oncidium lentiginosum","oncidium lentiginosum","Oncidium lentiginusum","Accepted","SEL2021","CHECK_fuzzy",2,0.948484848484848,60336,60336
"559","oncidium majevskyae","oncidium majevskyae","Oncidium majevskyi","Synonym","GBIF2026","CHECK_fuzzy",2,0.937777777777778,11759,11756
"560","oncidium murinun","oncidium murinun","Oncidium murinum","Synonym","literature2021","CHECK_fuzzy",2,0.942857142857143,34370,34367
"561","oncidium ornithorrynchum","oncidium ornithorrynchum","Oncidium ornithorhynchum","Accepted","literature2021","CHECK_fuzzy",2,0.944761904761905,12738,12738
"562","oncidium universitas-cuencae","oncidium universitas-cuencae","Oncidium universitascuencae","Accepted","INABIOEC","CHECK_fuzzy",2,0.989473684210526,60745,60745
"563","oncidium warscewiczii","oncidium warscewiczii","Oncidium warszewiczii","Accepted","SEL2021","CHECK_fuzzy",2,0.948484848484848,60764,60764
"564","ophidion pleurothalloides","ophidion pleurothalloides","Ophidion pleurothallopsis","Accepted","SEL2021","CHECK_fuzzy",2,0.935714285714286,60190,60190
"565","oreanthes buxifloius","oreanthes buxifloius","Oreanthes buxifolius","Accepted","literature2021","CHECK_fuzzy",2,0.98,60779,60779
"566","oreanthes glandulifer","oreanthes glandulifer","Oreanthes glanduliferus","Accepted","GBIF2026","CHECK_fuzzy",2,0.969230769230769,60784,60784
"567","oreanthes hypogaea","oreanthes hypogaea","Oreanthes hypogaeus","Accepted","INABIOEC","CHECK_fuzzy",2,0.930555555555556,60785,60785
"568","oreopanax diguense","oreopanax diguense","Oreopanax diguensis","Accepted","GBIF2026; HUA2025","CHECK_fuzzy",2,0.930555555555556,60810,60810
"569","oreopanax eriocephalus","oreopanax eriocephalus","Oreopanax meiocephalus","Synonym","GBIF2026; HCCL2025; INABIOEC","CHECK_fuzzy",2,0.944444444444444,6841,6824
"570","oreopanax macrocephalus","oreopanax macrocephalus","Oreopanax microcephalus","Synonym","GBIF2026; HUA2025","CHECK_fuzzy",2,0.953846153846154,6842,6824
"571","oreopanax sandianus","oreopanax sandianus","Oreopanax sanderianus","Accepted","ATRIUM2017; CUZ2025; GBIF2026","CHECK_fuzzy",2,0.963636363636364,60816,60816
"572","ornithidium aggregata","ornithidium aggregata","Ornithidium aggregatum","Synonym","UIS2024","CHECK_fuzzy",2,0.937777777777778,56127,56124
"573","ornithidium jenischiana","ornithidium jenischiana","Ornithidium jenischianum","Synonym","UIS2024","CHECK_fuzzy",2,0.948484848484848,56024,56022
"574","ornithocephalus bryostachyus","ornithocephalus bryostachyus","Ornithocephalus bryostachys","Accepted","SEL2021","CHECK_fuzzy",2,0.983333333333333,60843,60843
"575","osmoglossum egertonii","osmoglossum egertonii","Osmoglossum egertoni","Synonym","CR2024; GBIF2026; SEL2021","CHECK_fuzzy",2,0.977777777777778,33656,33649
"576","ossaea rufescens","ossaea rufescens","Ossaea rubescens","Synonym","GBIF2026","CHECK_fuzzy",2,0.940740740740741,56415,56408
"577","otoglossum weberbaueranum","otoglossum weberbaueranum","Otoglossum weberbauerianum","Accepted","CUZ2025; SEL2021","CHECK_fuzzy",2,0.986666666666667,6864,6864
"578","pabstiella bowmannii","pabstiella bowmannii","Pabstiella bowmanni","Synonym","AssisI","CHECK_fuzzy",2,0.977777777777778,62028,62027
"579","pabstiella miniatolineolata","pabstiella miniatolineolata","Pabstiella miniato-lineolata","Accepted","AssisI; GBIF2026","CHECK_fuzzy",2,0.988235294117647,62556,62556
"580","pachyphyllum cristallinum","pachyphyllum cristallinum","Pachyphyllum crystallinum","Synonym","literature2021","CHECK_fuzzy",2,0.955555555555556,11625,11624
"581","pachyphyllum pasti","pachyphyllum pasti","Pachyphyllum pastii","Synonym","literature2021","CHECK_fuzzy",2,0.966666666666667,11677,11676
"582","parietaria macrophylla","parietaria macrophylla","Parietaria microphylla","Synonym","HUAP2024","CHECK_fuzzy",2,0.945454545454546,64815,64813
"583","pecluma hoehnei","pecluma hoehnei","Pecluma hoehnii","Accepted","GBIF2026","CHECK_fuzzy",2,0.942857142857143,61546,61546
"584","peperomia acumianta","peperomia acumianta","Peperomia acuminata","Accepted","CAUP2023","CHECK_fuzzy",2,0.977777777777778,6940,6940
"585","peperomia agravescens","peperomia agravescens","Peperomia aggravescens","Synonym","HEM2025","CHECK_fuzzy",2,0.977777777777778,62190,62189
"586","peperomia andina","peperomia andina","Peperomia andinacea","Synonym","GBIF2026; peperomia_net2025","CHECK_fuzzy",2,0.933333333333333,62006,62004
"587","peperomia antoniana","peperomia antoniana","Peperomia antoni var. reducta","Synonym","GBIF2026; HUA2025; INABIOEC; peperomia_net2025","CHECK_fuzzy",2,0.933333333333333,7242,7241
"588","peperomia antonii","peperomia antonii","Peperomia antoni var. reducta","Synonym","GBIF2026; peperomia_net2025","CHECK_fuzzy",2,0.971428571428571,7242,7241
"589","peperomia argumentosa","peperomia argumentosa","Peperomia argumentos","Accepted","GBIF2026; peperomia_net2025","CHECK_fuzzy",2,0.981818181818182,6997,6997
"590","peperomia argyraea","peperomia argyraea","Peperomia argyrea","Synonym","GBIF2026","CHECK_fuzzy",2,0.946428571428571,61730,61729
"591","peperomia asperula","peperomia asperula","Peperomia asperulata","Synonym","GBIF2026; HCCL2025; HUA2025; peperomia_net2025","CHECK_fuzzy",2,0.96,7000,6999
"592","peperomia austinii","peperomia austinii","Peperomia austini","Synonym","peperomia_net2025","CHECK_fuzzy",2,0.975,62248,62247
"593","peperomia bangroana","peperomia bangroana","Peperomia bangrooana","Accepted","peperomia_net2025","CHECK_fuzzy",2,0.98,61758,61758
