occurrenceID,basisOfRecord,typeStatus,associatedReferences,institutionCode,taxonRank,collectionCode,recordedBy,recordNumber,identifiedBy,lifeForm,datasetID,matchCodeEpig,matchedNameEpig,decimalLatitude,decimalLongitude,eventDate,changes
HIP2025_0013,PRESERVED_SPECIMEN,,Boelcke et al. 1985,HIP,SPECIES,Herbarium,Transecta BotÃ¡nica de la Patagonia Austral,1443,Transecta BotÃ¡nica de la Patagonia Austral,NV,HIP2025,0,,-51.55,-74.9,27799,change1: Moved authorship out of scientificName into scientificNameAuthorship; kept binomial. | change2: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11]
HIP2025_0014,PRESERVED_SPECIMEN,,Boelcke et al. 1985,HIP,SPECIES,Herbarium,Transecta BotÃ¡nica de la Patagonia Austral,1308,Transecta BotÃ¡nica de la Patagonia Austral,NV,HIP2025,0,,-51.8833333,-74.6833333,27793,change1: Moved authorship out of scientificName into scientificNameAuthorship; kept binomial. | change2: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11]
HIP2025_0015,PRESERVED_SPECIMEN,,Boelcke et al. 1985,HIP,SPECIES,Herbarium,Transecta BotÃ¡nica de la Patagonia Austral,1505,Transecta BotÃ¡nica de la Patagonia Austral,NV,HIP2025,0,,-51.55,-74.9,27802,change1: Moved authorship out of scientificName into scientificNameAuthorship; kept binomial. | change2: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11]
HIP2025_0016,PRESERVED_SPECIMEN,,Boelcke et al. 1985,HIP,SPECIES,Herbarium,Transecta BotÃ¡nica de la Patagonia Austral,1635,Transecta BotÃ¡nica de la Patagonia Austral,NV,HIP2025,0,,-51.5166667,-73.2666667,28136,change1: Moved authorship out of scientificName into scientificNameAuthorship; kept binomial. | change2: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11]
HIP2025_0017,PRESERVED_SPECIMEN,,Boelcke et al. 1985,HIP,SPECIES,Herbarium,Transecta BotÃ¡nica de la Patagonia Austral,1830,Transecta BotÃ¡nica de la Patagonia Austral,NV,HIP2025,0,,-51.4166667,-73.0833333,28143,change1: Moved authorship out of scientificName into scientificNameAuthorship; kept binomial. | change2: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11]
HIP2025_0018,PRESERVED_SPECIMEN,,Boelcke et al. 1985,HIP,SPECIES,Herbarium,Transecta BotÃ¡nica de la Patagonia Austral,1983,Transecta BotÃ¡nica de la Patagonia Austral,NV,HIP2025,0,,-51.3166667,-73.1166667,28150,change1: Moved authorship out of scientificName into scientificNameAuthorship; kept binomial. | change2: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11]
HIP2025_0019,PRESERVED_SPECIMEN,,Boelcke et al. 1985,HIP,SPECIES,Herbarium,Transecta BotÃ¡nica de la Patagonia Austral,1890,Transecta BotÃ¡nica de la Patagonia Austral,NV,HIP2025,0,,-51.4166667,-73.0666667,28147,change1: Moved authorship out of scientificName into scientificNameAuthorship; kept binomial. | change2: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11]
HIP2025_0020,PRESERVED_SPECIMEN,,Boelcke et al. 1985,HIP,SPECIES,Herbarium,Transecta BotÃ¡nica de la Patagonia Austral,1744,Transecta BotÃ¡nica de la Patagonia Austral,NV,HIP2025,0,,-51.4166667,-73.0833333,28141,change1: Moved authorship out of scientificName into scientificNameAuthorship; kept binomial. | change2: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11]
HIP2025_0021,PRESERVED_SPECIMEN,,Boelcke et al. 1985,HIP,SPECIES,Herbarium,Transecta BotÃ¡nica de la Patagonia Austral,1708,Transecta BotÃ¡nica de la Patagonia Austral,NV,HIP2025,0,,-51.4666667,-73.2666667,28138,change1: Moved authorship out of scientificName into scientificNameAuthorship; kept binomial. | change2: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11]
HIP2025_0022,PRESERVED_SPECIMEN,,Boelcke et al. 1985,HIP,SPECIES,Herbarium,Transecta BotÃ¡nica de la Patagonia Austral,1731,Transecta BotÃ¡nica de la Patagonia Austral,NV,HIP2025,0,,-51.4166667,-73.0833333,28141,change1: Moved authorship out of scientificName into scientificNameAuthorship; kept binomial. | change2: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11]
