occurrenceID,basisOfRecord,typeStatus,associatedReferences,institutionCode,taxonRank,collectionCode,recordedBy,recordNumber,identifiedBy,lifeForm,datasetID,matchCodeEpig,matchedNameEpig,decimalLatitude,decimalLongitude,eventDate,changes
gallegos_s_2025_00012,PreservedSpecimen,Colección,,LPB,SPECIES,,"Gallegos, S.",SG2025_SGA5282,"Jimenez, I.",E,gallegos_s_2025,1,Pleopeltis fraseri,-16.34902222222222,-67.502825,2021-03-27,"change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | EpIG backbone match, accepted name update, and taxonomy fill [2026-03-28] | Filled missing scientificNameAuthorship from EpIG backbone [2026-04-14] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14]"
gallegos_s_2025_00013,PreservedSpecimen,Colección,,LPB,SPECIES,,"Gallegos, S.",SG2025_SGA5288,"Jimenez, I.",E,gallegos_s_2025,1,Pleurothallis xanthochlora,-16.326833333333333,-67.48991666666667,2021-04-26,"change1: Hybrid detected: removed ×/x and reduced to binomial when possible | change2: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | EpIG backbone match, accepted name update, and taxonomy fill [2026-03-28] | Filled missing scientificNameAuthorship from EpIG backbone [2026-04-14] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14]"
gallegos_s_2025_00014,PreservedSpecimen,Colección,,LPB,SPECIES,,"Gallegos, S.",SG2025_SGA5289,"Jimenez, I.",E,gallegos_s_2025,1,Pleurothallis divaricans,-16.326833333333333,-67.48991666666667,2021-04-26,"change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | EpIG backbone match, accepted name update, and taxonomy fill [2026-03-28] | Filled missing scientificNameAuthorship from EpIG backbone [2026-04-14] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14]"
gallegos_s_2025_00015,PreservedSpecimen,Colección,,LPB,SPECIES,,"Gallegos, S.",SG2025_SGA5290,"Lopez, C.",E,gallegos_s_2025,3,Peperomia dubia,-16.326833333333333,-67.48991666666667,2021-04-26,"change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | EpIG backbone match, accepted name update, and taxonomy fill [2026-03-28] | Filled missing scientificNameAuthorship from EpIG backbone [2026-04-14] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14]"
gallegos_s_2025_00016,PreservedSpecimen,Colección,,LPB,SPECIES,,"Gallegos, S.",SG2025_SGA5291,"Hurtado, R.",E,gallegos_s_2025,1,Peperomia quaesita,-16.326833333333333,-67.48991666666667,2021-04-26,"change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | EpIG backbone match, accepted name update, and taxonomy fill [2026-03-28] | Filled missing scientificNameAuthorship from EpIG backbone [2026-04-14] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14]"
gallegos_s_2025_00017,PreservedSpecimen,Colección,,LPB,SPECIES,,"Gallegos, S.",SG2025_SGA5292,"Jimenez, I.",E,gallegos_s_2025,1,Hymenophyllum axillare,-16.326833333333333,-67.48991666666667,2021-04-26,"change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | EpIG backbone match, accepted name update, and taxonomy fill [2026-03-28] | Filled missing scientificNameAuthorship from EpIG backbone [2026-04-14] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14]"
gallegos_s_2025_00018,PreservedSpecimen,Colección,,LPB,SPECIES,,"Gallegos, S.",SG2025_SGA5294,"Jimenez, I.",E,gallegos_s_2025,1,Maxillaria huancabambae,-16.326833333333333,-67.48991666666667,2021-04-26,"change1: Hybrid detected: removed ×/x and reduced to binomial when possible | change2: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | EpIG backbone match, accepted name update, and taxonomy fill [2026-03-28] | Filled missing scientificNameAuthorship from EpIG backbone [2026-04-14] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14]"
gallegos_s_2025_00019,PreservedSpecimen,Colección,,LPB,SPECIES,,"Gallegos, S.",SG2025_SGA5295,"Beck, S.",E,gallegos_s_2025,1,Racinaea parviflora,-16.326833333333333,-67.48991666666667,2021-04-26,"change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | EpIG backbone match, accepted name update, and taxonomy fill [2026-03-28] | Filled missing scientificNameAuthorship from EpIG backbone [2026-04-14] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14]"
gallegos_s_2025_00020,PreservedSpecimen,Colección,,LPB,SPECIES,,"Gallegos, S.",SG2025_SGA5296,"Jimenez, I.",E,gallegos_s_2025,1,Stelis vasquezii,-16.326833333333333,-67.48991666666667,2021-04-26,"change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | EpIG backbone match, accepted name update, and taxonomy fill [2026-03-28] | Filled missing scientificNameAuthorship from EpIG backbone [2026-04-14] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14]"
gallegos_s_2025_00021,PreservedSpecimen,Colección,,LPB,FAMILY,,"Gallegos, S.",SG2025_SGA5297,,E,gallegos_s_2025,,,-16.326833333333333,-67.48991666666667,2021-04-26,"change1: Cleared scientificName (not strict binomial) | change2: Normalized/filled taxonRank without overwriting existing non-empty values | change3: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | EpIG backbone match, accepted name update, and taxonomy fill [2026-03-28] | Filled missing scientificNameAuthorship from EpIG backbone [2026-04-14] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14]"
