occurrenceID,basisOfRecord,typeStatus,associatedReferences,institutionCode,taxonRank,collectionCode,recordedBy,recordNumber,identifiedBy,lifeForm,datasetID,matchCodeEpig,matchedNameEpig,decimalLatitude,decimalLongitude,eventDate,changes
BA2025_052,PreservedSpecimen,Evento,,BA96146,SPECIES,Herbario,Marquez G.J. & Yañez A.,BA96146,Yañez A. & Marquez G.J.,E,BA2025,1,Pecluma singeri,,,2021-02-23,"epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
BA2025_053,PreservedSpecimen,Evento,,BA,SPECIES,Herbario,"Yañez A., Marquez G.J. & Watts J.",BA,Yañez A. & Marquez G.J.,E,BA2025,1,Pecluma truncorum,-26.8745,-54.22614722,2020-02-11,"change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
BA2025_054,PreservedSpecimen,Evento,,BA,SPECIES,Herbario,Pérez Moreau,BA48222,"Yuncker, T.G.",E,BA2025,1,Peperomia urocarpa,,,1942-01-01,"epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
BA2025_055,PreservedSpecimen,Evento,,BA,SPECIES,Herbario,"Quiroga, H.",BA22420,"Yuncker, T.G.",E,BA2025,1,Peperomia urocarpa,,,5177-01-01,"epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
BA2025_056,PreservedSpecimen,Evento,,BA,SPECIES,Herbario,Pérez Moreau,BA31/2128,"Yuncker, T.G.",E,BA2025,1,Peperomia urocarpa,,,1931-07-26,"epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
BA2025_057,PreservedSpecimen,Evento,,BA,SPECIES,Herbario,"Venturi, S.",BA 17369,"Castellanos, A.",E,BA2025,1,Pfeiffera ianthothele,,,7712-01-01,"epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
BA2025_058,PreservedSpecimen,Evento,,BA,SPECIES,Herbario,"Eyerdam, Walter J.",BA 41423,-,E,BA2025,1,Pfeiffera ianthothele,,,1938-03-10,"epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
BA2025_059,PreservedSpecimen,Evento,,BA,SPECIES,Herbario,"Eyerdam, Walter J.",BA41423,-,E,BA2025,1,Pfeiffera ianthothele,,,1938-03-10,"epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
BA2025_060,PreservedSpecimen,Evento,,BA,SPECIES,Herbario,Cozzo,BA52398,-,E,BA2025,3,Peperomia rhombea,,,1947-09-12,"epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
BA2025_061,PreservedSpecimen,Evento,,BA,SPECIES,Herbario,"Steinbach, J.",BA22401,"Yuncker, T.G.",E,BA2025,0,,,,1916-06-18,"epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
BA2025_062,PreservedSpecimen,Evento,,BA,SPECIES,Herbario,"Yañez A., Marquez G.J. & Watts J.",BA,Yañez A. & Marquez G.J.,E,BA2025,1,Pleopeltis hirsutissima,-26.8745,-54.22614722,2020-02-11,"change1: Trimmed whitespace in verbatimScientificName (and standardized blanks to NA) | change2: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
BA2025_063,PreservedSpecimen,Evento,,BA,SPECIES,Herbario,Marquez G.J. & Yañez A.,BA,Yañez A. & Marquez G.J.,E,BA2025,1,Pleopeltis hirsutissima,,,2021-02-23,"epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
BA2025_064,PreservedSpecimen,Evento,,BA,SPECIES,Herbario,Marquez G.J. & Yañez A.,BA,Yañez A. & Marquez G.J.,E,BA2025,1,Pleopeltis minima,,,2021-02-23,"epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
BA2025_065,PreservedSpecimen,Evento,,BA,SPECIES,Herbario,Marquez & Yañez,BA,Yañez A. & Marquez G.J.,E,BA2025,1,Pleopeltis minima,-25.9851515,-54.108798,2021-02-23,"change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
BA2025_066,PreservedSpecimen,Evento,,BA 95135,SPECIES,Herbario,"Marquez G.J., Grossi M.A. & Yañez A.",BA 95135,Yañez A. & Marquez G.J.,E,BA2025,1,Pleopeltis minima,-26.8715,-54.2265,2023-05-01,"change1: Trimmed whitespace in verbatimScientificName (and standardized blanks to NA) | change2: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
BA2025_067,PreservedSpecimen,Evento,,BA,SPECIES,Herbario,Yañez et al.,"BA, LP",Yañez A. & Marquez G.J.,E,BA2025,1,Pleopeltis minima,,,2009-03-12,"change1: Trimmed whitespace in verbatimScientificName (and standardized blanks to NA) | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
BA2025_068,PreservedSpecimen,Evento,,BA,SPECIES,Herbario,Marquez G.J. & Yañez A.,BA,Yañez A. & Marquez G.J.,E,BA2025,1,Pleopeltis pleopeltifolia,,,2021-02-23,"epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
BA2025_069,PreservedSpecimen,Evento,,BA,SPECIES,Herbario,Marquez & Yañez,BA,Yañez A. & Marquez G.J.,E,BA2025,1,Pleopeltis pleopeltifolia,-25.9851515,-54.108798,2024-03-15,"change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
BA2025_070,PreservedSpecimen,Evento,,BA 95140,SPECIES,Herbario,"Marquez G.J., Grossi M.A. & Yañez A.",BA 95140,Yañez A. & Marquez G.J.,E,BA2025,1,Pleopeltis pleopeltifolia,-26.8715,-54.2265,2009-03-12,"change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
BA2025_071,PreservedSpecimen,Evento,,BA,SPECIES,Herbario,"Yañez A., Marquez G.J. & Watts J.",BA,Yañez A. & Marquez G.J.,E,BA2025,1,Trichomanes angustatum,-26.8715278,-54.22322222,2020-02-11,"change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
BA2025_072,PreservedSpecimen,Evento,,BA,SPECIES,Herbario,"Venturi, S.",BA 17408,-,E,BA2025,1,Lepismium lumbricoides f. aculeatum,,,7184-01-01,"epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
BA2025_073,PreservedSpecimen,Evento,,BA,SPECIES,Herbario,Schreiter,BA 27/2619,"Castellanos, A.",E,BA2025,1,Lepismium lumbricoides f. aculeatum,,,1921-09-29,"epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
BA2025_074,PreservedSpecimen,Evento,,BA,SPECIES,Herbario,"Venturi, S.",BA17408,-,E,BA2025,1,Lepismium lumbricoides f. aculeatum,,,7184-01-01,"epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
BA2025_075,PreservedSpecimen,Evento,,BA,SPECIES,Herbario,"Rojas, T.",BA 37130,"Castellanos, A.",E,BA2025,1,Rhipsalis cereuscula,,,7915-01-01,"epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
BA2025_076,PreservedSpecimen,Evento,,BA,SPECIES,Herbario,"Rojas, T.",BA 37129,"Castellanos, A.",E,BA2025,1,Lepismium cruciforme,,,6972-01-01,"epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
BA2025_077,PreservedSpecimen,Evento,,BA,SPECIES,Herbario,"Rojas, T.",BA37129,"Castellanos, A.",E,BA2025,1,Lepismium cruciforme,,,6972-01-01,"epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
BA2025_078,PreservedSpecimen,Evento,,BA,SPECIES,Herbario,"Rojas, T.",BA 37132,"Castellanos, A.",E,BA2025,1,Lepismium warmingianum,,,1930-10-01,"epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
BA2025_079,PreservedSpecimen,Evento,,BA,SPECIES,Herbario,"Rojas, T.",BA37132,"Castellanos, A.",E,BA2025,1,Lepismium warmingianum,,,1930-10-01,"epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
