"";"occurrenceID";"country";"countryCode";"stateProvince";"locality";"decimalLatitude";"decimalLongitude";"coordinateUncertaintyInMeters";"datasetID";".ok_for_analysis";"eventDate";"changes";"ok.2";"discardReason"
"11";"SURCO:428";"COLOMBIA";"CO";NA;"Municipio de Acevedo, Corredor biologico Guacharos Purace";"1.67101944";"-76.105225";5006;"SURCO2025";TRUE;"2024-10-23";"change1: Set taxonRank=SPECIES from binomial scientificName. | change2: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14]";TRUE;"Corrected: points were corrected according to locality"
"12";"SURCO:603";"COLOMBIA";"CO";NA;"Municipio de Acevedo, Corredor biologico Guacharos Purace";"1.67101944";"-76.105225";3704;"SURCO2025";TRUE;"2024-10-24";"change1: Set taxonRank=SPECIES from binomial scientificName. | change2: Trimmed whitespace in verbatimScientificName (and standardized blanks to NA) | change3: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14]";TRUE;"Corrected: points were corrected according to locality"
"13";"SURCO:529";"COLOMBIA";"CO";NA;"Municipio de Palestina, Vereda Santa Barbara, Reserva Natural de La Sociedad Civil El Encanto";"1.72094444";"-76.11930556";7871;"SURCO2025";TRUE;"2018-04-29";"change1: Set taxonRank=SPECIES from binomial scientificName. | change2: Trimmed whitespace in verbatimScientificName (and standardized blanks to NA) | change3: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14]";TRUE;"Corrected: points were corrected according to locality"
"14";"SURCO:532";"COLOMBIA";"CO";NA;"Municipio de Palestina, Vereda Santa Barbara, Finca La Esperanza";"1.72847222";"-76.11522222";7130;"SURCO2025";TRUE;"2005-10-25";"change1: Set taxonRank=SPECIES from binomial scientificName. | change2: Trimmed whitespace in verbatimScientificName (and standardized blanks to NA) | change3: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14]";TRUE;"Corrected: points were corrected according to locality"
"15";"SURCO:340";"COLOMBIA";"CO";NA;"Municipio de San Agustin, via a Isnos";"1.9";"-76.3";5566;"SURCO2025";TRUE;"2007-03-14";"change1: Set taxonRank=SPECIES from binomial scientificName. | change2: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14]";TRUE;"Corrected: points were corrected according to locality"
"16";"SURCO:468";"COLOMBIA";"CO";NA;"Municipio de Isnos, Finca el Manabtial, Asociacion de reservas Naturales de la Sociedad Civil El Cedral";"1.93305833";"-76.22933056";6259;"SURCO2025";TRUE;"2022-03-13";"change1: Set taxonRank=SPECIES from binomial scientificName. | change2: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14]";TRUE;"Corrected: points were corrected according to locality"
"17";"SURCO:381";"COLOMBIA";"CO";NA;"Municipio de San Agustin, Vereda Mesitas, Estrecho del Magdalena";"2.54772222";"-76.50131667";6173;"SURCO2025";TRUE;"2021-09-07";"change1: Set taxonRank=SPECIES from binomial scientificName. | change2: Corrected taxonRank (SPECIES→FORM); kept scientificName as-is. | change3: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14]";TRUE;"Corrected: points were corrected according to locality"
"18";"SURCO:288";"COLOMBIA";"CO";NA;"Municipio de Palestina, Reserva La Riviera, bosque";"2.14568056";"-75.51933333";5537;"SURCO2025";TRUE;"2022-02-09";"change1: Set taxonRank=SPECIES from binomial scientificName. | change2: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14]";TRUE;"Corrected: points were corrected according to locality"
"19";"SURCO:289";"COLOMBIA";"CO";NA;"Municipio de Palestina, Reserva La Riviera, bosque";"2.14568056";"-75.51933333";8323;"SURCO2025";TRUE;"2022-02-09";"change1: Set taxonRank=SPECIES from binomial scientificName. | change2: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14]";TRUE;"Corrected: points were corrected according to locality"
"20";"SURCO:552";"COLOMBIA";"CO";NA;"Municipio de Garzon, vereda Las Mercedes. area amortiguadora del Parque Natural Regional Cerro Paramo de Miraflores";"2.14719722";"-75.52216389";4285;"SURCO2025";TRUE;"2024-09-28";"change1: Trimmed whitespace in scientificName (and standardized blanks to NA) | change2: Trimmed whitespace in verbatimScientificName (and standardized blanks to NA) | change3: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14]";TRUE;"Corrected: points were corrected according to locality"
